time_s,event
0,exit
20.909,enter
43.132,exit
1:10.744,enter
1:36.333,exit
2:11.328,enter
2:33.858,exit
3:02.157,enter
3:30.704,exit
04:16.111,enter
04:42.341,exit
05:05.162,enter
05:34.635,exit
06:13.522,enter
06:41.084,exit
07:08.341,enter
07:34.913,exit
08:08.753,enter
08:37.407,exit
09:11.246,enter
09:40.921,exit
10:15.821,enter
10:42.050,exit
11:12.411,enter
11:41.338,exit
12:17.697,enter
12:47.515,exit
13:14.325,enter
13:44.276,exit
14:19.624,enter
14:46.633,exit
15:13.853,enter
15:42.505,exit
16:19.348,enter
16:44.932,exit
17:17.713,enter
17:48.617,exit
